dataset,ranker,slice,auc,mrr,ndcg5,ndcg10,novelty,coverage,ild
MIND,bm25,all,0.523875,0.278708,0.254511,0.316216,16.335919,0.049082,0.857848
MIND,bm25,cold,0.522079,0.299562,0.29009,0.349122,16.345231,0.029875,0.870026
MIND,bm25,warm,0.524266,0.274166,0.246763,0.30905,16.33418,0.046292,0.855241
EBNERD_DEMO,bm25,all,0.490945,0.309834,0.338284,0.4255,14.240001,0.218307,0.800199
EBNERD_DEMO,bm25,cold,0.457316,0.250657,0.268232,0.356796,14.205285,0.043984,0.753108
EBNERD_DEMO,bm25,warm,0.491087,0.310085,0.338581,0.425791,14.240112,0.217882,0.800398
